# linedensity[i]	correlation[i]/1024	correlation_fftw[i]	FourierComp_fftw[i]
-0.191625	0.0129745	0.0129745	7.88125e+133
-0.240092	0.0078437	0.0078437	7.88125e+133
-0.331135	0.0031859	0.0031859	7.88125e+133
-0.621549	-0.00150502	-0.00150502	7.88125e+133
-0.743457	-0.0059997	-0.0059997	7.88125e+133
-0.767058	-0.0110618	-0.0110618	7.88125e+133
-0.897157	-0.0157243	-0.0157243	7.88125e+133
-0.888633	-0.0197759	-0.0197759	7.88125e+133
-0.885313	-0.0234048	-0.0234048	7.88125e+133
-0.859421	-0.0274659	-0.0274659	7.88125e+133
-0.988508	-0.0307094	-0.0307094	7.88125e+133
-0.834731	-0.0334904	-0.0334904	7.88125e+133
-0.91098	-0.0356668	-0.0356668	7.88125e+133
-0.858434	-0.0372949	-0.0372949	7.88125e+133
-0.826391	-0.0389127	-0.0389127	7.88125e+133
-0.68214	-0.0396039	-0.0396039	7.88125e+133
-0.619658	-0.0391756	-0.0391756	7.88125e+133
-0.50969	-0.0387146	-0.0387146	7.88125e+133
-0.390343	-0.0374368	-0.0374368	7.88125e+133
-0.355378	-0.0355853	-0.0355853	7.88125e+133
-0.168875	-0.0327894	-0.0327894	7.88125e+133
0.077905	-0.0294016	-0.0294016	7.88125e+133
0.0612876	-0.0255922	-0.0255922	7.88125e+133
0.0772286	-0.0213289	-0.0213289	7.88125e+133
0.205803	-0.0161602	-0.0161602	7.88125e+133
0.52797	-0.010565	-0.010565	7.88125e+133
0.664019	-0.00453182	-0.00453182	7.88125e+133
0.686275	0.00172831	0.00172831	7.88125e+133
0.763851	0.00874813	0.00874813	7.88125e+133
0.816568	0.0156211	0.0156211	7.88125e+133
0.880419	0.0226208	0.0226208	7.88125e+133
1.03891	0.0296911	0.0296911	7.88125e+133
1.01773	0.0366957	0.0366957	7.88125e+133
1.12884	0.0438538	0.0438538	7.88125e+133
1.01211	0.0505322	0.0505322	7.88125e+133
1.0449	0.0567283	0.0567283	7.88125e+133
1.02719	0.0625341	0.0625341	7.88125e+133
1.07365	0.0678236	0.0678236	7.88125e+133
1.12384	0.0722403	0.0722403	7.88125e+133
1.00462	0.0761634	0.0761634	7.88125e+133
0.891964	0.079642	0.079642	7.88125e+133
0.703127	0.0819833	0.0819833	7.88125e+133
0.860676	0.0834461	0.0834461	7.88125e+133
0.6217	0.0835505	0.0835505	7.88125e+133
0.452369	0.0832049	0.0832049	7.88125e+133
0.317938	0.0815921	0.0815921	7.88125e+133
0.373173	0.078955	0.078955	7.88125e+133
-0.0482104	0.0753509	0.0753509	7.88125e+133
0.115913	0.0708289	0.0708289	7.88125e+133
-0.194942	0.0652631	0.0652631	7.88125e+133
-0.280415	0.0589329	0.0589329	7.88125e+133
-0.386439	0.0517366	0.0517366	7.88125e+133
-0.465202	0.0437972	0.0437972	7.88125e+133
-0.513222	0.0353222	0.0353222	7.88125e+133
-0.749773	0.0261482	0.0261482	7.88125e+133
-0.823868	0.0166444	0.0166444	7.88125e+133
-0.755831	0.00711286	0.00711286	7.88125e+133
-0.711731	-0.00281103	-0.00281103	7.88125e+133
-0.961428	-0.0125314	-0.0125314	7.88125e+133
-0.86095	-0.0221183	-0.0221183	7.88125e+133
-0.820832	-0.031627	-0.031627	7.88125e+133
-0.82721	-0.0404157	-0.0404157	7.88125e+133
-0.815588	-0.048689	-0.048689	7.88125e+133
-0.911232	-0.0560955	-0.0560955	7.88125e+133
-0.853029	-0.062311	-0.062311	7.88125e+133
-0.659703	-0.0680292	-0.0680292	7.88125e+133
-0.626865	-0.0726625	-0.0726625	7.88125e+133
-0.559587	-0.0760139	-0.0760139	7.88125e+133
-0.367717	-0.0784127	-0.0784127	7.88125e+133
-0.219886	-0.0790851	-0.0790851	7.88125e+133
-0.241697	-0.0786268	-0.0786268	7.88125e+133
-0.0647249	-0.0768897	-0.0768897	7.88125e+133
0.105577	-0.0739237	-0.0739237	7.88125e+133
0.236956	-0.0690871	-0.0690871	7.88125e+133
